"主";95;5;"教育漢字 (kyōiku kanji)";"丶";"シュ, ス, シュウ ";"ぬし, おも, あるじ ";"かず, ず, もん ";"lord, chief, master, main thing, principal";31;"shu, su, shuu ";"nushi, omo, aruji "
"丼";2088;5;"常用漢字 (jōyō kanji)";"丶";"トン, タン, ショウ, セイ ";"どんぶり ";"null";"bowl, bowl of food";32;"ton, tan, shou, sei ";"donburi "
"丿";9999;1;"表外漢字 (hyōgai kanji)";"丿";"ヘツ ";"えい, よう ";"の ";"katakana no radical (no. 4)";33;"hetsu ";"ei, you "
"乁";9999;1;"表外漢字 (hyōgai kanji)";"丶";"イ ";"なが.れる ";"null";"null";34;"i ";"naga.reru "
"乂";9999;2;"表外漢字 (hyōgai kanji)";"丿";"ガイ, カイ, ゲ ";"おさ.める, か.る ";"null";"mow, cut grass, subdue";35;"gai, kai, ge ";"osa.meru, ka.ru "
"乃";1978;2;"人名用漢字 (jinmeiyō kanji)";"丿";"ナイ, ダイ, ノ, アイ ";"の, すなわ.ち, なんじ ";"おさむ, お, のり ";"from, possessive particle, whereupon, accordingly";36;"nai, dai, no, ai ";"no, sunawa.chi, nanji "
"久";688;3;"教育漢字 (kyōiku kanji)";"丿";"キュウ, ク ";"ひさ.しい ";"きゅ, わ, なが, ひさ, ひさし ";"long time, old story";37;"kyuu, ku ";"hisa.shii "
"乇";9999;3;"表外漢字 (hyōgai kanji)";"丿";"タク, チャク ";"null";"null";"to depend on, to entrust with";38;"taku, chaku ";"null"
"之";1318;3;"人名用漢字 (jinmeiyō kanji)";"丶";"シ ";"の, これ, ゆく, この ";"ゆき, いたる, あき, つな, ゆみ, くに, のぶ, ひさ, ひで ";"of, this";39;"shi ";"no, kore, yuku, kono "
"乍";9999;5;"表外漢字 (hyōgai kanji)";"丿";"サ, サク ";"-なが.ら, たちま.ち ";"null";"though, notwithstanding, while, during, both, all";40;"sa, saku ";"-naga.ra, tachima.chi "
"乎";9999;5;"人名用漢字 (jinmeiyō kanji)";"丿";"コ, オ ";"か, ああ, かな, や, よ, を ";"null";"question mark, ?";41;"ko, o ";"ka, aa, kana, ya, yo, wo "
"乏";1646;4;"常用漢字 (jōyō kanji)";"丿";"ボウ ";"とぼ.しい, とも.しい ";"null";"destitution, scarce, limited";42;"bou ";"tobo.shii, tomo.shii "
"乑";9999;6;"表外漢字 (hyōgai kanji)";"丿";"ギン, ゴン, シュウ ";"ならびたつ ";"null";"stand side by side, assemble";43;"gin, gon, shuu ";"narabitatsu "
